Weekday Name,Open,High,Low,Close,Adj Close,Volume,Year,Month
Saturday,0.99,0.99,0.87,0.89,0.75,5190249,2014,2
Saturday,0.87,0.87,0.82,0.85,0.71,2730328,2014,3
Sunday,0.85,0.85,0.76,0.81,0.68,5514553,2014,6
Tuesday,0.82,0.87,0.79,0.85,0.72,4590470,2014,7
Friday,0.85,0.85,0.81,0.84,0.71,2015385,2014,8
Monday,0.83,0.84,0.8,0.84,0.71,1322092,2014,9
Wednesday,0.81,0.83,0.81,0.82,0.69,1514648,2014,10
Monday,0.81,0.85,0.79,0.83,0.7,2317116,2014,1
Tuesday,0.83,0.89,0.83,0.87,0.73,6645932,2014,1
Wednesday,0.87,0.89,0.87,0.87,0.74,4733735,2014,1
Thursday,0.88,0.95,0.87,0.93,0.78,13866767,2014,1
Friday,0.93,1.03,0.93,0.98,0.82,19103543,2014,1
Monday,0.99,0.99,0.96,0.98,0.82,4482676,2014,1
Tuesday,0.96,0.99,0.96,0.98,0.82,3436519,2014,1
Wednesday,0.96,0.97,0.96,0.97,0.82,2016306,2014,1
Thursday,0.96,0.98,0.92,0.97,0.82,2040260,2014,1
Friday,0.98,0.99,0.97,0.97,0.82,5265797,2014,1
Monday,0.97,0.97,0.94,0.94,0.79,5257966,2014,1
Tuesday,0.94,0.95,0.92,0.94,0.79,1635801,2014,1
Wednesday,0.95,0.95,0.94,0.95,0.8,1155794,2014,1
Thursday,0.95,0.95,0.93,0.93,0.79,673945,2014,1
Friday,0.93,0.94,0.93,0.94,0.79,1627970,2014,1
Sunday,0.95,0.96,0.94,0.95,0.8,3636445,2014,3
Wednesday,0.94,0.94,0.92,0.93,0.78,2442876,2014,4
Friday,0.94,0.94,0.93,0.93,0.79,2097843,2014,5
Monday,0.94,0.95,0.93,0.95,0.8,1331305,2014,6
Wednesday,0.96,1.03,0.96,1.01,0.85,42067410,2014,7
Thursday,1.02,1.03,0.98,0.99,0.83,15718618,2014,10
Sunday,0.99,1,0.98,0.99,0.83,3884740,2014,11
Tuesday,0.99,1.01,0.99,1.01,0.85,7400032,2014,12
Thursday,1.02,1.06,1.02,1.03,0.87,36405907,2014,2
Monday,1.05,1.08,1.04,1.07,0.9,26613672,2014,2
Tuesday,1.08,1.13,1.06,1.11,0.93,53942747,2014,2
Wednesday,1.12,1.13,1.09,1.11,0.93,14787165,2014,2
Thursday,1.11,1.14,1.1,1.11,0.93,19281818,2014,2
Friday,1.12,1.13,1.09,1.11,0.93,8957521,2014,2
Monday,1.1,1.1,1.04,1.04,0.88,12770859,2014,2
Tuesday,1.06,1.07,1.04,1.05,0.88,14493264,2014,2
Wednesday,1.05,1.05,1.02,1.02,0.86,4520450,2014,2
Thursday,1.03,1.05,1.03,1.04,0.88,5086600,2014,2
Friday,1.05,1.08,1.05,1.08,0.91,20743029,2014,2
Monday,1.07,1.08,1.06,1.06,0.9,21861510,2014,3
Thursday,1.07,1.12,1.07,1.1,0.92,39141302,2014,4
Saturday,1.11,1.11,1.07,1.07,0.9,24930883,2014,5
Tuesday,1.08,1.1,1.08,1.08,0.91,14572037,2014,6
Thursday,1.09,1.1,1.08,1.1,0.92,4640682,2014,7
Friday,1.1,1.1,1.07,1.07,0.9,7314349,2014,10
Monday,1.08,1.11,1.08,1.1,0.92,8996677,2014,11
Wednesday,1.1,1.1,1.08,1.08,0.91,11072868,2014,12
Thursday,1.08,1.1,1.07,1.08,0.91,8090099,2014,3
Friday,1.08,1.08,1.07,1.07,0.9,6746817,2014,3
Monday,1.07,1.07,1.05,1.06,0.89,11209224,2014,3
Tuesday,1.06,1.07,1.05,1.05,0.89,3839135,2014,3
Wednesday,1.05,1.06,1.03,1.03,0.87,7239722,2014,3
Thursday,1.03,1.04,1.02,1.03,0.87,2607792,2014,3
Friday,1.03,1.04,1,1.01,0.85,6860139,2014,3
Monday,1,1.01,0.98,0.99,0.84,5370367,2014,3
Tuesday,0.98,1,0.98,1,0.84,1559332,2014,3
Wednesday,1,1.01,0.99,0.99,0.84,1907130,2014,3
Thursday,0.99,1,0.98,0.98,0.83,1485166,2014,3
Friday,0.98,0.99,0.96,0.98,0.83,3595907,2014,3
Monday,0.98,0.99,0.98,0.98,0.82,2173851,2014,3
Saturday,0.98,0.99,0.98,0.99,0.84,2437349,2014,1
Tuesday,1,1,0.99,0.99,0.84,1844019,2014,2
Tuesday,0.99,1.04,0.99,1.03,0.87,14574340,2014,3
Friday,1.04,1.06,1.01,1.01,0.85,16007451,2014,4
Monday,1.01,1.02,1,1,0.85,2280264,2014,8
Thursday,1,1.01,1,1,0.85,1072876,2014,9
Saturday,1.01,1.01,1,1,0.85,1319328,2014,10
Tuesday,1,1.02,0.99,1.02,0.86,1423898,2014,11
Wednesday,1.02,1.02,1.02,1.02,0.86,1836188,2014,4
Thursday,1.02,1.03,1.02,1.02,0.86,4500181,2014,4
Friday,1.02,1.05,1.02,1.03,0.87,13782006,2014,4
Monday,1.04,1.05,1.02,1.03,0.87,5971066,2014,4
Tuesday,1.03,1.04,1.02,1.02,0.86,10213278,2014,4
Wednesday,1.03,1.05,1.02,1.04,0.87,10378194,2014,4
Thursday,1.04,1.07,1.04,1.06,0.89,43046772,2014,4
Friday,1.07,1.08,1.04,1.04,0.87,33758498,2014,4
Monday,1.03,1.05,1.03,1.04,0.88,727842,2014,4
Tuesday,1.04,1.06,1.04,1.05,0.89,17944524,2014,4
Wednesday,1.06,1.06,1.04,1.04,0.88,12653851,2014,4
Wednesday,1.05,1.05,1.02,1.03,0.87,11947200,2014,2
Thursday,1.02,1.03,1,1,0.91,6024042,2014,6
Saturday,0.99,1,0.99,1,0.91,4221943,2014,7
Tuesday,1,1,0.98,0.99,0.9,6547812,2014,8
Friday,0.99,0.99,0.99,0.99,0.9,4572044,2014,9
Friday,0.99,1.01,0.99,1,0.91,4318681,2014,12
Wednesday,1,1,0.99,1,0.91,1728854,2014,5
Thursday,1,1,0.99,0.99,0.9,1371383,2014,5
Friday,0.98,0.99,0.98,0.99,0.9,3306152,2014,5
Monday,0.99,1,0.99,1,0.91,1499446,2014,5
Tuesday,0.99,1,0.98,0.99,0.9,2329554,2014,5
Wednesday,0.99,1,0.99,1,0.91,2866683,2014,5
Thursday,1,1.01,0.99,1,0.91,2376542,2014,5
Friday,0.97,0.98,0.96,0.98,0.89,3971344,2014,5
Monday,0.99,1,0.98,1,0.91,3821169,2014,5
Tuesday,1.01,1.06,1.01,1.06,0.96,32112101,2014,5
Wednesday,1.09,1.12,1.05,1.05,0.96,69394183,2014,5
Thursday,1.07,1.25,1.07,1.22,1.11,262845766,2014,5
Friday,1.22,1.34,1.2,1.32,1.21,218176552,2014,5
